"DIRECTION","TEACHER","ASSESSMENT "
"Web Developer","Danilov Ermolai Natanovich","5"
"Mobile App Developer","Maximov Eldar Demyanovich","4"
"Software Developer","Dementyev Vilen Albertovich","3"
"Web Developer","Petukhov Arkady Matveyevich","5"
"Database Administrator","Evseev Adolf Damirovich","4"
"Database Administrator","Emelyanov Terenty Kirillovich","4"
"Database Administrator","Pavlov Miron Anatolyevich","5"
"Web Developer","Ovchinnikova Yulanta Sozonovna","3"
"Web Developer","Bobyleva Emma Arsentievna","3"
"Web Developer","Fadeeva Yanita Ulebovna","3"
"Database Administrator","Yakovleva Polina Artemovna","4"
"Cybersecurity Analyst","Smirnova Kira Dmitrievna","3"
"Mobile App Developer","Bogdanova Sofia Mikhailovna","3"
"Database Administrator","Danilov Nikolay Vladislavovich","3"
"Software Developer","Pankratov Mikhail Mikhailovich","3"
"Mobile App Developer","Morozova Sofya Leonidovna","4"
"Mobile App Developer","Ryabov Dmitry Mikhailovich","5"
"Machine Learning Engineer","Sokolov Yaroslav Vadimovich","5"
"Mobile App Developer","Popov Ilya Mikhailovich","3"
"Web Developer","Lebedeva Victoria Konstantinovna","5"
"Mobile App Developer","Danilov Ermolai Natanovich","4"
"Mobile App Developer","Maximov Eldar Demyanovich","3"
"Cybersecurity Analyst","Dementyev Vilen Albertovich","4"
"Cybersecurity Analyst","Petukhov Arkady Matveyevich","5"
"Database Administrator","Evseev Adolf Damirovich","3"
"Cybersecurity Analyst","Emelyanov Terenty Kirillovich","3"
"Software Developer","Pavlov Miron Anatolyevich","4"
"Mobile App Developer","Ovchinnikova Yulanta Sozonovna","5"
"Cybersecurity Analyst","Bobyleva Emma Arsentievna","5"
"Machine Learning Engineer","Fadeeva Yanita Ulebovna","5"
"Machine Learning Engineer","Yakovleva Polina Artemovna","4"
"Cybersecurity Analyst","Smirnova Kira Dmitrievna","4"
"Web Developer","Bogdanova Sofia Mikhailovna","5"
"Web Developer","Danilov Nikolay Vladislavovich","3"
"Database Administrator","Pankratov Mikhail Mikhailovich","3"
"Software Developer","Morozova Sofya Leonidovna","3"
"Software Developer","Ryabov Dmitry Mikhailovich","5"
"Machine Learning Engineer","Sokolov Yaroslav Vadimovich","3"
"Mobile App Developer","Popov Ilya Mikhailovich","4"
"Database Administrator","Lebedeva Victoria Konstantinovna","4"
"Database Administrator","Danilov Ermolai Natanovich","4"
"Web Developer","Maximov Eldar Demyanovich","5"
"Mobile App Developer","Dementyev Vilen Albertovich","5"
"Cybersecurity Analyst","Petukhov Arkady Matveyevich","4"
"Mobile App Developer","Evseev Adolf Damirovich","5"
"Web Developer","Emelyanov Terenty Kirillovich","3"
"Cybersecurity Analyst","Pavlov Miron Anatolyevich","4"
"Software Developer","Ovchinnikova Yulanta Sozonovna","4"
"Web Developer","Bobyleva Emma Arsentievna","4"
"Mobile App Developer","Fadeeva Yanita Ulebovna","5"
"Cybersecurity Analyst","Yakovleva Polina Artemovna","4"
"Web Developer","Smirnova Kira Dmitrievna","3"
"Machine Learning Engineer","Bogdanova Sofia Mikhailovna","3"
"Web Developer","Danilov Nikolay Vladislavovich","4"
"Database Administrator","Pankratov Mikhail Mikhailovich","4"
"Machine Learning Engineer","Morozova Sofya Leonidovna","3"
"Cybersecurity Analyst","Ryabov Dmitry Mikhailovich","3"
"Database Administrator","Sokolov Yaroslav Vadimovich","4"
"Software Developer","Popov Ilya Mikhailovich","4"
"Cybersecurity Analyst","Lebedeva Victoria Konstantinovna","5"
"Cybersecurity Analyst","Danilov Ermolai Natanovich","4"
"Mobile App Developer","Maximov Eldar Demyanovich","3"
"Cybersecurity Analyst","Dementyev Vilen Albertovich","4"
"Mobile App Developer","Petukhov Arkady Matveyevich","4"
"Web Developer","Evseev Adolf Damirovich","5"
"Cybersecurity Analyst","Emelyanov Terenty Kirillovich","3"
"Mobile App Developer","Pavlov Miron Anatolyevich","3"
"Cybersecurity Analyst","Ovchinnikova Yulanta Sozonovna","4"
"Software Developer","Bobyleva Emma Arsentievna","5"
"Mobile App Developer","Fadeeva Yanita Ulebovna","3"
